State Names,UN Membership,Sovereignty,More Information
Nigeria– Federal Republic of Nigeria,AUN member state,ANone,Nigeria is afederationof36 states and one federal territory.
North Korea– Democratic People's Republic of Korea,AUN member state,BClaimed byAfghanistanClaimed byGeorgiaClaimed byNorth KoreaClaimed bySerbiaClaimed bySomaliaClaimed by thePeople's Republic of ChinaClaimed by theRepublic of ChinaClaimed bySouth KoreaClaimed byAzerbaijanClaimed by theRepublic of CyprusDisputed byIsraelClaimed byIndonesiaClaimed by theMarshall IslandsClaimed byMauritiusClaimed byMoroccoClaimed byMoldovaClaimed byMaliClaimed bySpainClaimed byArgentinaClaimed byUkraine,"North Korea is not recognised by one UN member,South Korea, which claims to be the sole legitimate government ofKorea.[40]"
North Macedonia– Republic of North Macedonia[af],AUN member state,ANone,
Norway– Kingdom of Norway,AUN member state,ANone,"Norway has twounincorporated areasin Europe:Svalbardis an integral part of Norway, but has a special status due to theSvalbard Treaty.Jan Mayenis an uninhabited island that is an integral part of Norway, although unincorporated.Norway has onedependent territoryand twoclaimedAntarctic dependent territories in theSouthern Hemisphere:Bouvet IslandPeter I IslandQueen Maud Land"
Oman– Sultanate of Oman,AUN member state,ANone,
Pakistan– Islamic Republic of Pakistan,AUN member state,ANone,"Pakistan is afederationoffour provinces and one capital territory. Pakistan exercises control over certain portions ofKashmir, but has not officially annexed any of it,[41][42]instead regarding it as a disputed territory.[43][44]The portions that it controls are divided into two territories, administered separately from Pakistan proper:Azad KashmirGilgit-BaltistanAzad Kashmir describes itself as a ""self-governing state under Pakistani control"", while Gilgit-Baltistan is described in its governance order as a group of ""areas"" with self-government.[45][46][47]These territories are not usually regarded as sovereign, as they do not fulfil the criteria set out by the declarative theory of statehood (for example, their current laws do not allow them to engage independently in relations with other states). Several state functions of these territories (such as foreign affairs and defense) are performed by Pakistan.[46][48][49]"
Palau– Republic of Palau,AUN member state,ANone,UnderCompact of Free Associationwith theUnited States.
Palestine– State of Palestine,AUN General Assembly observer state; member of twoUN specialized agencies,Partially unrecognised,"The State of Palestine, declared in 1988, is not recognised as a state by Israel but has received diplomatic recognition from147states.[50]The proclaimed state has no agreed territorial borders, or effective control over much of the territory that it proclaimed.[51]ThePalestinian Authorityis an interim administrative body formed as a result of theOslo Accordsthat exercises limited autonomous jurisdiction within theoccupied Palestinian territories. In foreign relations, Palestine is represented by thePalestine Liberation Organization.[52]The State of Palestine is a member state ofUNESCO,[53]UNIDOand other international organizations.[54]"
Panama– Republic of Panama,AUN member state,ANone,
Papua New Guinea– Independent State of Papua New Guinea,AUN member state,ANone,"Papua New Guinea is aCommonwealth realm[g]with one autonomous region,Bougainville.[h]"
Paraguay– Republic of Paraguay,AUN member state,ANone,
Peru– Republic of Peru,AUN member state,ANone,
Philippines– Republic of the Philippines,AUN member state,ANone,"The Philippines contains one autonomous region,Bangsamoro.[h]"
Poland– Republic of Poland,AUN member state,ANone,Member of the EU.[e]
Portugal– Portuguese Republic,AUN member state,ANone,"Member of the EU.[e]Portugal contains two autonomous regions,the AzoresandMadeira.[h]"
Qatar– State of Qatar,AUN member state,ANone,
Romania,AUN member state,ANone,Member of the EU.[e]
Russia– Russian Federation,AUN member state,ANone,"Russia is afederationof 83 internationally recognisedfederal subjects(republics, oblasts, krais, autonomous okrugs, federal cities, and an autonomous oblast). Several of the federal subjects are ethnic republics.[h]"
Rwanda– Republic of Rwanda,AUN member state,ANone,
Saint Kitts and Nevis– Federation of Saint Christopher and Nevis,AUN member state,ANone,"Saint Kitts and Nevis is aCommonwealth realm[g]and is afederation[r]of two islands,Saint KittsandNevis."
Saint Lucia,AUN member state,ANone,Saint Lucia is aCommonwealth realm.[g]
Saint Vincent and the Grenadines,AUN member state,ANone,Saint Vincent and the Grenadines is aCommonwealth realm.[g]
Samoa– Independent State of Samoa,AUN member state,ANone,
San Marino– Republic of San Marino,AUN member state,ANone,
